gene1_name,gene2_name,cell_line,label
DLD,PKM,A549,0
LDHA,PGD,A549,0
MLH1,SRC,A549,0
BMF,BOK,A549,0
MDH2,PFKL,A549,0
GATA3,MTOR,A549,1
HDAC1,KDM6A,A549,0
CDKN2A,KDM6A,A549,0
BAX,BCL2L14,A549,0
BTK,SETD2,A549,0
ATM,PRKDC,A549,0
ATM,RPS6KB1,A549,0
CDK4,PBRM1,A549,0
HDAC6,TYMS,A549,0
GOT2,PGAM2,A549,0
SRC,TYMS,A549,0
FGFR3,RPS6KB1,A549,0
DLD,PFKM,A549,0
KCNA1,KCND2,A549,0
FBP2,HK2,A549,0
HSP90AA1,PIK3CA,A549,0
KDM6A,RPS6KB1,A549,0
HDAC1,MLH1,A549,0
DHFR,HSP90AA1,A549,0
CASP8,CDK6,A549,0
KCNA3,KCNC3,A549,0
EGFR,FGFR2,A549,0
ENO3,PKLR,A549,0
ME2,PFKM,A549,0
LDHAL6B,RPE,A549,0
CTSG,GZMM,A549,0
DHFR,MAP3K1,A549,0
HDAC1,PIK3R1,A549,0
FGFR3,KIT,A549,0
CDKN2A,KMT2D,A549,0
HDAC1,TP53,A549,0
DLAT,GAPDHS,A549,0
LPIN1,LPIN3,A549,0
DHFR,PARP1,A549,0
FGFR3,WEE1,A549,0
BRAF,MLH1,A549,0
ADA,VEGFA,A549,0
APC,BRAF,A549,1
IGF1R,TP53,A549,0
PARP1,PARP2,A549,0
EGFR,TYMS,A549,1
BRAF,CDKN2A,A549,0
ENO2,LDHAL6B,A549,0
ENO3,PGD,A549,0
PLXNA1,PLXNB1,A549,0
BAK1,BIK,A549,0
DLAT,LDHA,A549,0
ARID1A,KIT,A549,0
FKBP1A,FKBP5,A549,0
ALDOA,FBP1,A549,0
BAK1,BCL2L11,A549,0
CASP8,IGF1R,A549,0
CDKN2A,MSH6,A549,0
BRD4,HDAC1,A549,0
KCNA1,KCNC4,A549,0
CHEK1,FGFR3,A549,0
BRAF,SMO,A549,0
TRIM21,TRIM6,A549,0
CDKN1B,RPS6KB1,A549,0
GAPDH,HK2,A549,0
BCL2,PBRM1,A549,0
FGFR3,SMAD4,A549,0
CHEK1,MCL1,A549,0
IGF1R,SMAD4,A549,0
ERBB2,SMAD4,A549,0
BRAF,SRC,A549,0
ADAM28,ADAM9,A549,0
AKT2,MAP2K1,A549,0
MAP2K2,MCL1,A549,0
ADA,MTOR,A549,0
BRCA2,MTOR,A549,1
ALK,RUNX1,A549,0
ERBB2,PDGFRA,A549,1
CHAT,CRAT,A549,0
ATM,WEE1,A549,0
ALDOB,FBP2,A549,0
KDM6A,RRM2,A549,0
PHKA2,PHKB,A549,0
FLT3,MSH6,A549,0
CDKN2A,SRC,A549,0
GOT2,PGLS,A549,0
CDK4,GATA3,A549,0
GOT2,PFKM,A549,0
GOT2,PKM,A549,0
RPIA,TALDO1,A549,0
PBRM1,SMO,A549,0
ME1,PGAM2,A549,0
HRK,PMAIP1,A549,0
CASP8,MTOR,A549,0
ATM,CDKN1B,A549,0
FGFR3,FNTA,A549,0
BAK1,HRK,A549,0
ADAMTS14,ADAMTS2,A549,0
HSP90AA1,MAPK3,A549,0
MET,TP53,A549,0
EGFR,ERBB2,A549,1
CDH1,PDGFRA,A549,0
HK1,LDHA,A549,0
HK1,PFKP,A549,0
BRAF,EGFR,A549,0
CDKN2A,HDAC6,A549,0
NF1,VEGFA,A549,0
PARP1,SETD2,A549,0
CDK9,DHFR,A549,0
LDHB,PGD,A549,0
ARID1A,MTOR,A549,0
CHEK2,KIT,A549,0
HDAC1,SMAD4,A549,0
BCL2L14,BNIP3L,A549,0
ARID1A,BRCA2,A549,0
CHEK2,DHFR,A549,0
MDH1,PGAM2,A549,0
HDAC1,MET,A549,0
TRIM24,TRIM28,A549,0
SETD2,TP53,A549,0
JAK2,MSH6,A549,0
CCNE1,CCNE2,A549,0
BCL2,RRM2,A549,0
FNTA,IGF1R,A549,0
BRCA2,MAP2K1,A549,0
PARP1,PIK3CA,A549,0
CCNB1,CCNB2,A549,0
BCL2,FGFR3,A549,0
RNF113A,RNF113B,A549,0
PGAM2,PGD,A549,0
CDKN1B,CHEK2,A549,0
CASP8,RUNX1,A549,0
PGK2,TPI1,A549,0
ALDOA,TKT,A549,0
BCL2,SMARCA4,A549,0
AKT1,ERBB2,A549,1
RB1,SMAD4,A549,0
HDAC1,VHL,A549,0
CDKN2A,FNTA,A549,0
GOT1,LDHAL6B,A549,0
CTSL,CTSV,A549,0
ERBB2,HDAC1,A549,0
EGFR,HSP90AA1,A549,0
BCL2L2,MTOR,A549,0
BCL2L11,BID,A549,0
CDK6,PIK3R1,A549,0
DHFR,FLT3,A549,0
HDAC1,PBRM1,A549,0
PARP1,PDGFRA,A549,0
PGK2,PKLR,A549,0
DHFR,KDM6A,A549,0
IGF1R,PIK3CA,A549,0
ATM,SETD2,A549,0
ADAM15,ADAM28,A549,0
FGFR2,MAP2K1,A549,0
CHEK1,HDAC1,A549,0
ARID2,CDK9,A549,1
NF1,PTEN,A549,0
HDAC6,SETD2,A549,0
